longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
80.25315,-13.52098,1215.8945579306398,-65536,,
80.27136,-13.45664,1220.5070749420336,-65536,,
80.29151,-13.38201,1037.5484602634908,-65536,,
80.39022,-13.41143,1094.8970380702497,-65536,,
80.39424,-13.50827,929.7750345284772,-65536,,
80.31427,-13.49916,366.67280525750016,-65536,,
79.84275,-12.99034,417.42604702109963,-65536,,
79.69734,-12.9504,430.81496507026264,-65536,,
80.4249,-12.98837,1310.7259152690024,-65536,,
80.44092,-13.01367,534.0537591581375,-65536,,
80.30127,-13.18207,918.6765446136307,-65536,,
80.31201,-13.30537,1068.013308519314,-65536,,
80.17461,-13.24434,401.2963788281033,-65536,,
80.14746,-13.27939,361.44064369416213,-65536,,
79.90234,-13.22328,596.6262766129497,-65536,,
79.85047,-13.2454,303.78760212807333,-65536,,
79.62256,-13.1845,293.4516684828326,-65536,,
80.19074,-12.93882,432.36534750551726,-65536,,
80.22119,-12.90099,451.90155128017085,-65536,,
80.23355,-12.95794,311.0606382362723,-65536,,
80.13164,-12.59551,1314.2411410676452,-65536,,
80.18023,-12.50214,1271.5859460542554,-65536,,
80.32682,-12.69813,1461.7655394129627,-65536,,
80.4722,-12.80896,1098.1174561398668,-65536,,
80.38867,-12.79753,489.39329486544864,-65536,,
80.38293,-12.77763,303.9591207904841,-65536,,
80.40137,-12.7502,371.8839075036743,-65536,,
80.19092,-12.86563,681.5484743194409,-65536,,
80.11034,-12.72732,1279.296540489076,-65536,,
80.45971,-12.51444,994.8621675061041,-65536,,
80.50191,-12.47955,1247.9189637147026,-65536,,
80.73458,-12.23167,1437.3925189990287,-65536,,
80.66933,-12.20541,746.5626684946141,-65536,,
80.39875,-12.40429,1481.1470380313572,-65536,,
80.53318,-12.44555,1547.8860607850195,-65536,,
80.06506,-12.46944,457.9009851325355,-65536,,
80.30712,-12.40209,798.5245200153821,-65536,,
80.36971,-12.2203,691.22812844645,-65536,,
80.33734,-12.56748,745.8673559504839,-65536,,
80.2011,-12.66559,705.9180896398727,-65536,,
80.08961,-12.51021,281.11917214985743,-65536,,
79.94102,-12.45976,867.3620220682122,-65536,,
80.57085,-12.30934,1174.0731350419699,-65536,,
80.19551,-12.09947,723.1270912326088,-65536,,
80.34778,-12.07255,622.9202057728043,-65536,,
80.04914,-12.32019,767.8356461550277,-65536,,
79.63261,-12.87686,308.66541369852155,-65536,,
79.22428,-13.05152,343.1752968726617,-65536,,
79.72099,-12.998,414.20510208920024,-65536,,
79.71849,-12.87879,492.88490115569465,-65536,,
79.75532,-13.85461,449.23053634487087,-65536,,
79.47387,-13.7884,695.8881005350842,-65536,,
79.51172,-13.76367,301.8010333481141,-65536,,
79.52295,-13.38737,278.00997880069855,-65536,,
79.36942,-13.08262,398.20101047145124,-65536,,
79.4254,-13.07593,423.27873812343233,-65536,,
79.42529,-13.03282,451.9005742952298,-65536,,
79.41622,-13.003,404.7911419163372,-65536,,
79.47432,-12.97458,572.8249423698064,-65536,,
79.45676,-12.39414,421.58164625143115,-65536,,
